x	Dis
4.925	-0.023701161
4.93	-0.02178666
4.935	-0.019765949
4.94	-0.017637245
4.945	-0.015396191
4.95	-0.013039931
4.955	-0.010568241
4.96	-0.007986005
4.965	-0.005304941
4.97	-0.002543013
4.975	0.000274973
4.98	0.003119748
4.985	0.005958293
4.99	0.008757692
4.995	0.011485713
5	0.014114422
5.005	0.016621057
5.01	0.018988065
5.015	0.021203967
5.02	0.023261581
5.025	0.02515736
5.03	0.02688916
5.035	0.028455248
5.04	0.029852852
5.045	0.03107835
5.05	0.032126974
5.055	0.032994006
5.06	0.0336756
5.065	0.034169946
5.07	0.034477934
5.075	0.034603357
5.08	0.034552392
5.085	0.034332514
5.09	0.033951491
5.095	0.033415776
5.1	0.032729939
5.105	0.031896267
5.11	0.030915061
5.115	0.029785594
5.12	0.028507434
5.125	0.027081659
5.13	0.02551185
5.135	0.023804383
5.14	0.021968687
5.145	0.020016262
5.15	0.017960098
5.155	0.015812755
5.16	0.013587776
5.165	0.011297089
5.17	0.008954396
5.175	0.006572723
5.18	0.004168939
5.185	0.00176156
5.19	-0.000625464
5.195	-0.002966414
5.2	-0.005231286
5.205	-0.007391492
5.21	-0.009418326
5.215	-0.01128896
5.22	-0.012985827
5.225	-0.014500624
5.23	-0.015831999
5.235	-0.016987011
5.24	-0.017976413
5.245	-0.018813772
5.25	-0.019509669
5.255	-0.020069972
5.26	-0.020492462
5.265	-0.020766836
5.27	-0.020875536
5.275	-0.020797186
5.28	-0.020511011
5.285	-0.020002149
5.29	-0.019266749
5.295	-0.018314689
5.3	-0.017171489
5.305	-0.015875256
5.31	-0.014473306
5.315	-0.01301481
5.32	-0.011544957
5.325	-0.010097144
5.33	-0.00869065
5.335	-0.007327144
5.34	-0.005995938
5.345	-0.004675998
5.35	-0.003345684
5.355	-0.001986773
5.36	-0.000593114
5.365	0.000828897
5.37	0.002258295
5.375	0.003664805
5.38	0.005012742
5.385	0.006268772
5.39	0.007406606
5.395	0.008412269
5.4	0.009283986
5.405	0.010032057
5.41	0.010673546
5.415	0.011228438
5.42	0.011712803
5.425	0.012135859
5.43	0.012496863
5.435	0.012785953
5.44	0.012985963
5.445	0.013077069
5.45	0.013041172
5.455	0.012866687
5.46	0.012551882
5.465	0.012105934
5.47	0.011549082
5.475	0.010909285
5.48	0.010219296
5.485	0.009510987
5.49	0.008812111
5.495	0.008141505
5.5	0.007508042
5.505	0.006908994
5.51	0.006332396
5.515	0.00575883
5.52	0.00516596
5.525	0.004531723
5.53	0.003839383
5.535	0.003079539
5.54	0.002253089
5.545	0.001370688
5.55	0.000453005
5.555	-0.000472647
5.56	-0.001375333
5.565	-0.002223597
5.57	-0.002990915
5.575	-0.003657509
5.58	-0.004213854
5.585	-0.004660561
5.59	-0.0050082
5.595	-0.005274025
5.6	-0.005478531
5.605	-0.005640248
5.61	-0.005771356
5.615	-0.005873785
5.62	-0.005937757
5.625	-0.005942101
5.63	-0.005857599
5.635	-0.005652134
5.64	-0.005296921
5.645	-0.004772969
5.65	-0.004075533
5.655	-0.00321707
5.66	-0.002225927
5.665	-0.001143869
5.67	-1.91777E-05
5.675	0.00109886
5.68	0.002167131
5.685	0.00315247
5.69	0.004035217
5.695	0.004807555
5.7	0.005472631
5.705	0.006039445
5.71	0.006519949
5.715	0.00692472
5.72	0.007261377
5.725	0.007533738
5.73	0.007742528
5.735	0.007887289
5.74	0.007967766
5.745	0.00798556
5.75	0.007944871
5.755	0.007851813
5.76	0.007713716
5.765	0.007537606
5.77	0.007328649
5.775	0.007089515
5.78	0.006820171
5.785	0.006518639
5.79	0.006182686
5.795	0.005811846
5.8	0.005408939
5.805	0.004982158
5.81	0.004544816
5.815	0.004115692
5.82	0.003716636
5.825	0.003370327
5.83	0.003097282
5.835	0.0029127
5.84	0.002824615
5.845	0.002831894
5.85	0.002924768
5.855	0.00308622
5.86	0.003294538
5.865	0.003526948
5.87	0.003762806
5.875	0.003986485
5.88	0.004189627
5.885	0.00437139
5.89	0.004537115
5.895	0.004696932
5.9	0.004861651
5.905	0.005040403
5.91	0.005237519
5.915	0.005451469
5.92	0.005674036
5.925	0.00589207
5.93	0.006089452
5.935	0.006250355
5.94	0.00636167
5.945	0.006415801
5.95	0.006411389
5.955	0.006354001
5.96	0.006254115
5.965	0.006125341
5.97	0.005981863
5.975	0.005835745
5.98	0.005695392
5.985	0.005563928
5.99	0.005439842
5.995	0.005317506
6	0.005188982
6.005	0.005045464
6.01	0.004879383
6.015	0.004685099
6.02	0.004459936
6.025	0.004203653
6.03	0.003918212
6.035	0.003606379
6.04	0.003271528
6.045	0.002915905
6.05	0.002541276
6.055	0.002148087
6.06	0.00173658
6.065	0.001306809
6.07	0.000859629
6.075	0.000396878
6.08	-7.82149E-05
6.085	-0.000562039
6.09	-0.001050259
6.095	-0.001539651
6.1	-0.002028085
6.105	-0.002516077
6.11	-0.00300586
6.115	-0.003501999
6.12	-0.004009557
6.125	-0.004533225
6.13	-0.005074998
6.135	-0.005632837
6.14	-0.006199054
6.145	-0.006760183
6.15	-0.007296953
6.155	-0.007786417
6.16	-0.008203572
6.165	-0.008525362
6.17	-0.008732903
6.175	-0.008815118
6.18	-0.008769934
6.185	-0.00860516
6.19	-0.008337688
6.195	-0.007991213
6.2	-0.007593746
6.205	-0.00717347
6.21	-0.00675662
6.215	-0.006364085
6.22	-0.00601085
6.225	-0.005705312
6.23	-0.005450429
6.235	-0.005244746
6.24	-0.005084076
6.245	-0.004962614
6.25	-0.00487352
6.255	-0.004808945
6.26	-0.004759673
6.265	-0.004714355
6.27	-0.004659258
6.275	-0.004578803
6.28	-0.004456168
6.285	-0.004275688
6.29	-0.004024745
6.295	-0.00369601
6.3	-0.003288938
6.305	-0.002810448
6.31	-0.002274318
6.315	-0.001699217
6.32	-0.001105344
6.325	-0.000512436
6.33	6.46424E-05
6.335	0.00061676
6.34	0.00114273
6.345	0.001647871
6.35	0.002142928
6.355	0.002641203
6.36	0.003156176
6.365	0.003698498
6.37	0.004274496
6.375	0.004885196
6.38	0.005527177
6.385	0.006192772
6.39	0.0068729
6.395	0.007557752
6.4	0.008238955
6.405	0.008909046
6.41	0.009562364
6.415	0.010192999
6.42	0.010794978
6.425	0.011360203
6.43	0.01187891
6.435	0.012339517
6.44	0.012730372
6.445	0.013041063
6.45	0.013264997
6.455	0.013400066
6.46	0.01345008
6.465	0.013423616
6.47	0.013332677
6.475	0.013189868
6.48	0.01300538
6.485	0.012784759
6.49	0.01252657
6.495	0.01222312
6.5	0.011860466
6.505	0.011421806
6.51	0.010889835
6.515	0.010250437
6.52	0.009494747
6.525	0.00862089
6.53	0.00763349
6.535	0.006543539
6.54	0.005364964
6.545	0.004114314
6.55	0.002806786
6.555	0.001457011
6.56	7.69129E-05
6.565	-0.00132165
6.57	-0.002727911
6.575	-0.004128137
6.58	-0.005507171
6.585	-0.006846462
6.59	-0.008123935
6.595	-0.009316935
6.6	-0.010401818
6.605	-0.011358436
6.61	-0.012170464
6.615	-0.012827886
6.62	-0.013327318
6.625	-0.013672248
6.63	-0.013871646
6.635	-0.013938633
6.64	-0.013887944
6.645	-0.01373389
6.65	-0.013488204
6.655	-0.013158841
6.66	-0.012749815
6.665	-0.012260623
6.67	-0.011688877
6.675	-0.011030464
